Move, type, Category, Power, Accuracy, Power Points 
Pound,NORMAL,PHYSICAL,40,100,35
Karate Chop,FIGHTING,PHYSICAL,50,100,25
Double Slap,NORMAL,PHYSICAL,15,85,10
Comet Punch,NORMAL,PHYSICAL,18,85,15
Mega Punch,NORMAL,PHYSICAL,80,85,20
Pay Day,NORMAL,PHYSICAL,40,100,20
Fire Punch,FIRE,PHYSICAL,75,100,15
Ice Punch,ICE,PHYSICAL,75,100,15
Thunder Punch,ELECTRIC,PHYSICAL,75,100,15
Scratch,NORMAL,PHYSICAL,40,100,35
Vise Grip,NORMAL,PHYSICAL,55,100,30
Guillotine,NORMAL,PHYSICAL,none,30,5
Razor Wind,NORMAL,SPECIAL,80,100,10
Swords Dance,NORMAL,STATUS,none,none,20
Cut,NORMAL,PHYSICAL,50,95,30
Gust,FLYING,SPECIAL,40,100,35
Wing Attack,FLYING,PHYSICAL,60,100,35
Whirlwind,NORMAL,STATUS,none,none,20
Fly,FLYING,PHYSICAL,90,95,15
Bind,NORMAL,PHYSICAL,15,85,20
Slam,NORMAL,PHYSICAL,80,75,20
Vine Whip,GRASS,PHYSICAL,45,100,25
Stomp,NORMAL,PHYSICAL,65,100,20
Double Kick,FIGHTING,PHYSICAL,30,100,30
Mega Kick,NORMAL,PHYSICAL,120,75,5
Jump Kick,FIGHTING,PHYSICAL,100,95,10
Rolling Kick,FIGHTING,PHYSICAL,60,85,15
Sand Attack,GROUND,STATUS,none,100,15
Headbutt,NORMAL,PHYSICAL,70,100,15
Horn Attack,NORMAL,PHYSICAL,65,100,25
Fury Attack,NORMAL,PHYSICAL,15,85,20
Horn Drill,NORMAL,PHYSICAL,none,30,5
Tackle,NORMAL,PHYSICAL,40,100,35
Body Slam,NORMAL,PHYSICAL,85,100,15
Wrap,NORMAL,PHYSICAL,15,90,20
Take Down,NORMAL,PHYSICAL,90,85,20
Thrash,NORMAL,PHYSICAL,120,100,10
Double-Edge,NORMAL,PHYSICAL,120,100,15
Tail Whip,NORMAL,STATUS,none,100,30
Poison Sting,POISON,PHYSICAL,15,100,35
Twineedle,BUG,PHYSICAL,25,100,20
Pin Missile,BUG,PHYSICAL,25,95,20
Leer,NORMAL,STATUS,none,100,30
Bite,DARK,PHYSICAL,60,100,25
Growl,NORMAL,STATUS,none,100,40
Roar,NORMAL,STATUS,none,none,20
Sing,NORMAL,STATUS,none,55,15
Supersonic,NORMAL,STATUS,none,55,20
Sonic Boom,NORMAL,SPECIAL,none,90,20
Disable,NORMAL,STATUS,none,100,20
Acid,POISON,SPECIAL,40,100,30
Ember,FIRE,SPECIAL,40,100,25
Flamethrower,FIRE,SPECIAL,90,100,15
Mist,ICE,STATUS,none,none,30
Water Gun,WATER,SPECIAL,40,100,25
Hydro Pump,WATER,SPECIAL,110,80,5
Surf,WATER,SPECIAL,90,100,15
Ice Beam,ICE,SPECIAL,90,100,10
Blizzard,ICE,SPECIAL,110,70,5
Psybeam,PSYCHIC,SPECIAL,65,100,20
Bubble Beam,WATER,SPECIAL,65,100,20
Aurora Beam,ICE,SPECIAL,65,100,20
Hyper Beam,NORMAL,SPECIAL,150,90,5
Peck,FLYING,PHYSICAL,35,100,35
Drill Peck,FLYING,PHYSICAL,80,100,20
Submission,FIGHTING,PHYSICAL,80,80,20
Low Kick,FIGHTING,PHYSICAL,none,100,20
Counter,FIGHTING,PHYSICAL,none,100,20
Seismic Toss,FIGHTING,PHYSICAL,none,100,20
Strength,NORMAL,PHYSICAL,80,100,15
Absorb,GRASS,SPECIAL,20,100,25
Mega Drain,GRASS,SPECIAL,40,100,15
Leech Seed,GRASS,STATUS,none,90,10
Growth,NORMAL,STATUS,none,none,20
Razor Leaf,GRASS,PHYSICAL,55,95,25
Solar Beam,GRASS,SPECIAL,120,100,10
Poison Powder,POISON,STATUS,none,75,35
Stun Spore,GRASS,STATUS,none,75,30
Sleep Powder,GRASS,STATUS,none,75,15
Petal Dance,GRASS,SPECIAL,120,100,10
String Shot,BUG,STATUS,none,95,40
Dragon Rage,DRAGON,SPECIAL,none,100,10
Fire Spin,FIRE,SPECIAL,35,85,15
Thunder Shock,ELECTRIC,SPECIAL,40,100,30
Thunderbolt,ELECTRIC,SPECIAL,90,100,15
Thunder Wave,ELECTRIC,STATUS,none,90,20
Thunder,ELECTRIC,SPECIAL,110,70,10
Rock Throw,ROCK,PHYSICAL,50,90,15
Earthquake,GROUND,PHYSICAL,100,100,10
Fissure,GROUND,PHYSICAL,none,30,5
Dig,GROUND,PHYSICAL,80,100,10
Toxic,POISON,STATUS,none,90,10
Confusion,PSYCHIC,SPECIAL,50,100,25
Psychic,PSYCHIC,SPECIAL,90,100,10
Hypnosis,PSYCHIC,STATUS,none,60,20
Meditate,PSYCHIC,STATUS,none,none,40
Agility,PSYCHIC,STATUS,none,none,30
Quick Attack,NORMAL,PHYSICAL,40,100,30
Rage,NORMAL,PHYSICAL,20,100,20
Teleport,PSYCHIC,STATUS,none,none,20
Night Shade,GHOST,SPECIAL,none,100,15
Mimic,NORMAL,STATUS,none,none,10
Screech,NORMAL,STATUS,none,85,40
Double Team,NORMAL,STATUS,none,none,15
Recover,NORMAL,STATUS,none,none,5
Harden,NORMAL,STATUS,none,none,30
Minimize,NORMAL,STATUS,none,none,10
Smokescreen,NORMAL,STATUS,none,100,20
Confuse Ray,GHOST,STATUS,none,100,10
Withdraw,WATER,STATUS,none,none,40
Defense Curl,NORMAL,STATUS,none,none,40
Barrier,PSYCHIC,STATUS,none,none,20
Light Screen,PSYCHIC,STATUS,none,none,30
Haze,ICE,STATUS,none,none,30
Reflect,PSYCHIC,STATUS,none,none,20
Focus Energy,NORMAL,STATUS,none,none,30
Bide,NORMAL,PHYSICAL,none,none,10
Metronome,NORMAL,STATUS,none,none,10
Mirror Move,FLYING,STATUS,none,none,20
Self-Destruct,NORMAL,PHYSICAL,200,100,5
Egg Bomb,NORMAL,PHYSICAL,100,75,10
Lick,GHOST,PHYSICAL,30,100,30
Smog,POISON,SPECIAL,30,70,20
Sludge,POISON,SPECIAL,65,100,20
Bone Club,GROUND,PHYSICAL,65,85,20
Fire Blast,FIRE,SPECIAL,110,85,5
Waterfall,WATER,PHYSICAL,80,100,15
Clamp,WATER,PHYSICAL,35,85,15
Swift,NORMAL,SPECIAL,60,none,20
Skull Bash,NORMAL,PHYSICAL,130,100,10
Spike Cannon,NORMAL,PHYSICAL,20,100,15
Constrict,NORMAL,PHYSICAL,10,100,35
Amnesia,PSYCHIC,STATUS,none,none,20
Kinesis,PSYCHIC,STATUS,none,80,15
Soft-Boiled,NORMAL,STATUS,none,none,5
High Jump Kick,FIGHTING,PHYSICAL,130,90,10
Glare,NORMAL,STATUS,none,100,30
Dream Eater,PSYCHIC,SPECIAL,100,100,15
Poison Gas,POISON,STATUS,none,90,40
Barrage,NORMAL,PHYSICAL,15,85,20
Leech Life,BUG,PHYSICAL,80,100,10
Lovely Kiss,NORMAL,STATUS,none,75,10
Sky Attack,FLYING,PHYSICAL,140,90,5
Transform,NORMAL,STATUS,none,none,10
Bubble,WATER,SPECIAL,40,100,30
Dizzy Punch,NORMAL,PHYSICAL,70,100,10
Spore,GRASS,STATUS,none,100,15
Flash,NORMAL,STATUS,none,100,20
Psywave,PSYCHIC,SPECIAL,none,100,15
Splash,NORMAL,STATUS,none,none,40
Acid Armor,POISON,STATUS,none,none,20
Crabhammer,WATER,PHYSICAL,100,90,10
Explosion,NORMAL,PHYSICAL,250,100,5
Fury Swipes,NORMAL,PHYSICAL,18,80,15
Bonemerang,GROUND,PHYSICAL,50,90,10
Rest,PSYCHIC,STATUS,none,none,5
Rock Slide,ROCK,PHYSICAL,75,90,10
Hyper Fang,NORMAL,PHYSICAL,80,90,15
Sharpen,NORMAL,STATUS,none,none,30
Conversion,NORMAL,STATUS,none,none,30
Tri Attack,NORMAL,SPECIAL,80,100,10
Super Fang,NORMAL,PHYSICAL,none,90,10
Slash,NORMAL,PHYSICAL,70,100,20
Substitute,NORMAL,STATUS,none,none,10
Struggle,NORMAL,PHYSICAL,50,none,1
Sketch,NORMAL,STATUS,none,none,1
Triple Kick,FIGHTING,PHYSICAL,10,90,10
Thief,DARK,PHYSICAL,60,100,25
Spider Web,BUG,STATUS,none,none,10
Mind Reader,NORMAL,STATUS,none,none,5
Nightmare,GHOST,STATUS,none,100,15
Flame Wheel,FIRE,PHYSICAL,60,100,25
Snore,NORMAL,SPECIAL,50,100,15
Curse,GHOST,STATUS,none,none,10
Flail,NORMAL,PHYSICAL,none,100,15
Conversion 2,NORMAL,STATUS,none,none,30
Aeroblast,FLYING,SPECIAL,100,95,5
Cotton Spore,GRASS,STATUS,none,100,40
Reversal,FIGHTING,PHYSICAL,none,100,15
Spite,GHOST,STATUS,none,100,10
Powder Snow,ICE,SPECIAL,40,100,25
Protect,NORMAL,STATUS,none,none,10
Mach Punch,FIGHTING,PHYSICAL,40,100,30
Scary Face,NORMAL,STATUS,none,100,10
Feint Attack,DARK,PHYSICAL,60,none,20
Sweet Kiss,FAIRY,STATUS,none,75,10
Belly Drum,NORMAL,STATUS,none,none,10
Sludge Bomb,POISON,SPECIAL,90,100,10
Mud-Slap,GROUND,SPECIAL,20,100,10
Octazooka,WATER,SPECIAL,65,85,10
Spikes,GROUND,STATUS,none,none,20
Zap Cannon,ELECTRIC,SPECIAL,120,50,5
Foresight,NORMAL,STATUS,none,none,40
Destiny Bond,GHOST,STATUS,none,none,5
Perish Song,NORMAL,STATUS,none,none,5
Icy Wind,ICE,SPECIAL,55,95,15
Detect,FIGHTING,STATUS,none,none,5
Bone Rush,GROUND,PHYSICAL,25,90,10
Lock-On,NORMAL,STATUS,none,none,5
Outrage,DRAGON,PHYSICAL,120,100,10
Sandstorm,ROCK,STATUS,none,none,10
Giga Drain,GRASS,SPECIAL,75,100,10
Endure,NORMAL,STATUS,none,none,10
Charm,FAIRY,STATUS,none,100,20
Rollout,ROCK,PHYSICAL,30,90,20
False Swipe,NORMAL,PHYSICAL,40,100,40
Swagger,NORMAL,STATUS,none,85,15
Milk Drink,NORMAL,STATUS,none,none,5
Spark,ELECTRIC,PHYSICAL,65,100,20
Fury Cutter,BUG,PHYSICAL,40,95,20
Steel Wing,STEEL,PHYSICAL,70,90,25
Mean Look,NORMAL,STATUS,none,none,5
Attract,NORMAL,STATUS,none,100,15
Sleep Talk,NORMAL,STATUS,none,none,10
Heal Bell,NORMAL,STATUS,none,none,5
Return,NORMAL,PHYSICAL,none,100,20
Present,NORMAL,PHYSICAL,none,90,15
Frustration,NORMAL,PHYSICAL,none,100,20
Safeguard,NORMAL,STATUS,none,none,25
Pain Split,NORMAL,STATUS,none,none,20
Sacred Fire,FIRE,PHYSICAL,100,95,5
Magnitude,GROUND,PHYSICAL,none,100,30
Dynamic Punch,FIGHTING,PHYSICAL,100,50,5
Megahorn,BUG,PHYSICAL,120,85,10
Dragon Breath,DRAGON,SPECIAL,60,100,20
Baton Pass,NORMAL,STATUS,none,none,40
Encore,NORMAL,STATUS,none,100,5
Pursuit,DARK,PHYSICAL,40,100,20
Rapid Spin,NORMAL,PHYSICAL,50,100,40
Sweet Scent,NORMAL,STATUS,none,100,20
Iron Tail,STEEL,PHYSICAL,100,75,15
Metal Claw,STEEL,PHYSICAL,50,95,35
Vital Throw,FIGHTING,PHYSICAL,70,none,10
Morning Sun,NORMAL,STATUS,none,none,5
Synthesis,GRASS,STATUS,none,none,5
Moonlight,FAIRY,STATUS,none,none,5
Hidden Power,NORMAL,SPECIAL,60,100,15
Cross Chop,FIGHTING,PHYSICAL,100,80,5
Twister,DRAGON,SPECIAL,40,100,20
Rain Dance,WATER,STATUS,none,none,5
Sunny Day,FIRE,STATUS,none,none,5
Crunch,DARK,PHYSICAL,80,100,15
Mirror Coat,PSYCHIC,SPECIAL,none,100,20
Psych Up,NORMAL,STATUS,none,none,10
Extreme Speed,NORMAL,PHYSICAL,80,100,5
Ancient Power,ROCK,SPECIAL,60,100,5
Shadow Ball,GHOST,SPECIAL,80,100,15
Future Sight,PSYCHIC,SPECIAL,120,100,10
Rock Smash,FIGHTING,PHYSICAL,40,100,15
Whirlpool,WATER,SPECIAL,35,85,15
Beat Up,DARK,PHYSICAL,none,100,10
Fake Out,NORMAL,PHYSICAL,40,100,10
Uproar,NORMAL,SPECIAL,90,100,10
Stockpile,NORMAL,STATUS,none,none,20
Spit Up,NORMAL,SPECIAL,none,100,10
Swallow,NORMAL,STATUS,none,none,10
Heat Wave,FIRE,SPECIAL,95,90,10
Hail,ICE,STATUS,none,none,10
Torment,DARK,STATUS,none,100,15
Flatter,DARK,STATUS,none,100,15
Will-O-Wisp,FIRE,STATUS,none,85,15
Memento,DARK,STATUS,none,100,10
Facade,NORMAL,PHYSICAL,70,100,20
Focus Punch,FIGHTING,PHYSICAL,150,100,20
Smelling Salts,NORMAL,PHYSICAL,70,100,10
Follow Me,NORMAL,STATUS,none,none,20
Nature Power,NORMAL,STATUS,none,none,20
Charge,ELECTRIC,STATUS,none,none,20
Taunt,DARK,STATUS,none,100,20
Helping Hand,NORMAL,STATUS,none,none,20
Trick,PSYCHIC,STATUS,none,100,10
Role Play,PSYCHIC,STATUS,none,none,10
Wish,NORMAL,STATUS,none,none,10
Assist,NORMAL,STATUS,none,none,20
Ingrain,GRASS,STATUS,none,none,20
Superpower,FIGHTING,PHYSICAL,120,100,5
Magic Coat,PSYCHIC,STATUS,none,none,15
Recycle,NORMAL,STATUS,none,none,10
Revenge,FIGHTING,PHYSICAL,60,100,10
Brick Break,FIGHTING,PHYSICAL,75,100,15
Yawn,NORMAL,STATUS,none,none,10
Knock Off,DARK,PHYSICAL,65,100,20
Endeavor,NORMAL,PHYSICAL,none,100,5
Eruption,FIRE,SPECIAL,150,100,5
Skill Swap,PSYCHIC,STATUS,none,none,10
Imprison,PSYCHIC,STATUS,none,none,10
Refresh,NORMAL,STATUS,none,none,20
Grudge,GHOST,STATUS,none,none,5
Snatch,DARK,STATUS,none,none,10
Secret Power,NORMAL,PHYSICAL,70,100,20
Dive,WATER,PHYSICAL,80,100,10
Arm Thrust,FIGHTING,PHYSICAL,15,100,20
Camouflage,NORMAL,STATUS,none,none,20
Tail Glow,BUG,STATUS,none,none,20
Luster Purge,PSYCHIC,SPECIAL,70,100,5
Mist Ball,PSYCHIC,SPECIAL,70,100,5
Feather Dance,FLYING,STATUS,none,100,15
Teeter Dance,NORMAL,STATUS,none,100,20
Blaze Kick,FIRE,PHYSICAL,85,90,10
Mud Sport,GROUND,STATUS,none,none,15
Ice Ball,ICE,PHYSICAL,30,90,20
Needle Arm,GRASS,PHYSICAL,60,100,15
Slack Off,NORMAL,STATUS,none,none,5
Hyper Voice,NORMAL,SPECIAL,90,100,10
Poison Fang,POISON,PHYSICAL,50,100,15
Crush Claw,NORMAL,PHYSICAL,75,95,10
Blast Burn,FIRE,SPECIAL,150,90,5
Hydro Cannon,WATER,SPECIAL,150,90,5
Meteor Mash,STEEL,PHYSICAL,90,90,10
Astonish,GHOST,PHYSICAL,30,100,15
Weather Ball,NORMAL,SPECIAL,50,100,10
Aromatherapy,GRASS,STATUS,none,none,5
Fake Tears,DARK,STATUS,none,100,20
Air Cutter,FLYING,SPECIAL,60,95,25
Overheat,FIRE,SPECIAL,130,90,5
Odor Sleuth,NORMAL,STATUS,none,none,40
Rock Tomb,ROCK,PHYSICAL,60,95,15
Silver Wind,BUG,SPECIAL,60,100,5
Metal Sound,STEEL,STATUS,none,85,40
Grass Whistle,GRASS,STATUS,none,55,15
Tickle,NORMAL,STATUS,none,100,20
Cosmic Power,PSYCHIC,STATUS,none,none,20
Water Spout,WATER,SPECIAL,150,100,5
Signal Beam,BUG,SPECIAL,75,100,15
Shadow Punch,GHOST,PHYSICAL,60,none,20
Extrasensory,PSYCHIC,SPECIAL,80,100,20
Sky Uppercut,FIGHTING,PHYSICAL,85,90,15
Sand Tomb,GROUND,PHYSICAL,35,85,15
Sheer Cold,ICE,SPECIAL,none,30,5
Muddy Water,WATER,SPECIAL,90,85,10
Bullet Seed,GRASS,PHYSICAL,25,100,30
Aerial Ace,FLYING,PHYSICAL,60,none,20
Icicle Spear,ICE,PHYSICAL,25,100,30
Iron Defense,STEEL,STATUS,none,none,15
Block,NORMAL,STATUS,none,none,5
Howl,NORMAL,STATUS,none,none,40
Dragon Claw,DRAGON,PHYSICAL,80,100,15
Frenzy Plant,GRASS,SPECIAL,150,90,5
Bulk Up,FIGHTING,STATUS,none,none,20
Bounce,FLYING,PHYSICAL,85,85,5
Mud Shot,GROUND,SPECIAL,55,95,15
Poison Tail,POISON,PHYSICAL,50,100,25
Covet,NORMAL,PHYSICAL,60,100,25
Volt Tackle,ELECTRIC,PHYSICAL,120,100,15
Magical Leaf,GRASS,SPECIAL,60,none,20
Water Sport,WATER,STATUS,none,none,15
Calm Mind,PSYCHIC,STATUS,none,none,20
Leaf Blade,GRASS,PHYSICAL,90,100,15
Dragon Dance,DRAGON,STATUS,none,none,20
Rock Blast,ROCK,PHYSICAL,25,90,10
Shock Wave,ELECTRIC,SPECIAL,60,none,20
Water Pulse,WATER,SPECIAL,60,100,20
Doom Desire,STEEL,SPECIAL,140,100,5
Psycho Boost,PSYCHIC,SPECIAL,140,90,5
Roost,FLYING,STATUS,none,none,5
Gravity,PSYCHIC,STATUS,none,none,5
Miracle Eye,PSYCHIC,STATUS,none,none,40
Wake-Up Slap,FIGHTING,PHYSICAL,70,100,10
Hammer Arm,FIGHTING,PHYSICAL,100,90,10
Gyro Ball,STEEL,PHYSICAL,none,100,5
Healing Wish,PSYCHIC,STATUS,none,none,10
Brine,WATER,SPECIAL,65,100,10
Natural Gift,NORMAL,PHYSICAL,none,100,15
Feint,NORMAL,PHYSICAL,30,100,10
Pluck,FLYING,PHYSICAL,60,100,20
Tailwind,FLYING,STATUS,none,none,15
Acupressure,NORMAL,STATUS,none,none,30
Metal Burst,STEEL,PHYSICAL,none,100,10
U-turn,BUG,PHYSICAL,70,100,20
Close Combat,FIGHTING,PHYSICAL,120,100,5
Payback,DARK,PHYSICAL,50,100,10
Assurance,DARK,PHYSICAL,60,100,10
Embargo,DARK,STATUS,none,100,15
Fling,DARK,PHYSICAL,none,100,10
Psycho Shift,PSYCHIC,STATUS,none,100,10
Trump Card,NORMAL,SPECIAL,none,none,5
Heal Block,PSYCHIC,STATUS,none,100,15
Wring Out,NORMAL,SPECIAL,none,100,5
Power Trick,PSYCHIC,STATUS,none,none,10
Gastro Acid,POISON,STATUS,none,100,10
Lucky Chant,NORMAL,STATUS,none,none,30
Me First,NORMAL,STATUS,none,none,20
Copycat,NORMAL,STATUS,none,none,20
Power Swap,PSYCHIC,STATUS,none,none,10
Guard Swap,PSYCHIC,STATUS,none,none,10
Punishment,DARK,PHYSICAL,none,100,5
Last Resort,NORMAL,PHYSICAL,140,100,5
Worry Seed,GRASS,STATUS,none,100,10
Sucker Punch,DARK,PHYSICAL,70,100,5
Toxic Spikes,POISON,STATUS,none,none,20
Heart Swap,PSYCHIC,STATUS,none,none,10
Aqua Ring,WATER,STATUS,none,none,20
Magnet Rise,ELECTRIC,STATUS,none,none,10
Flare Blitz,FIRE,PHYSICAL,120,100,15
Force Palm,FIGHTING,PHYSICAL,60,100,10
Aura Sphere,FIGHTING,SPECIAL,80,none,20
Rock Polish,ROCK,STATUS,none,none,20
Poison Jab,POISON,PHYSICAL,80,100,20
Dark Pulse,DARK,SPECIAL,80,100,15
Night Slash,DARK,PHYSICAL,70,100,15
Aqua Tail,WATER,PHYSICAL,90,90,10
Seed Bomb,GRASS,PHYSICAL,80,100,15
Air Slash,FLYING,SPECIAL,75,95,15
X-Scissor,BUG,PHYSICAL,80,100,15
Bug Buzz,BUG,SPECIAL,90,100,10
Dragon Pulse,DRAGON,SPECIAL,85,100,10
Dragon Rush,DRAGON,PHYSICAL,100,75,10
Power Gem,ROCK,SPECIAL,80,100,20
Drain Punch,FIGHTING,PHYSICAL,75,100,10
Vacuum Wave,FIGHTING,SPECIAL,40,100,30
Focus Blast,FIGHTING,SPECIAL,120,70,5
Energy Ball,GRASS,SPECIAL,90,100,10
Brave Bird,FLYING,PHYSICAL,120,100,15
